LABEL,TRACK_INDEX,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,LONGEST_GAP,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TOTAL_DISTANCE_TRAVELED,MAX_DISTANCE_TRAVELED,CONFINEMENT_RATIO,MEAN_STRAIGHT_LINE_SPEED,LINEARITY_OF_FORWARD_PROGRESSION,MEAN_DIRECTIONAL_CHANGE_RATE
Label,Track index,Track ID,Number of spots in track,Number of gaps,Number of split events,Number of merge events,Number of complex points,Longest gap,Track duration,Track start,Track stop,Track displacement,Track mean X,Track mean Y,Track mean Z,Track mean speed,Track max speed,Track min speed,Track median speed,Track std speed,Track mean quality,Total distance traveled,Max distance traveled,Confinement ratio,Mean straight line speed,Linearity of forward progression,Mean directional change rate
Label,Index,ID,N spots,N gaps,N splits,N merges,N complex,Lgst gap,Duration,Track start,Track stop,Track disp.,Track X,Track Y,Track Z,Mean sp.,Max speed,Min speed,Med. speed,Std speed,Mean Q,Total dist.,Max dist.,Cfn. ratio,Mn. v. line,Fwd. progr.,Mn. ? rate
,,,,,,,,,(frame),(frame),(frame),(pixel),(pixel),(pixel),(pixel),(pixel/frame),(pixel/frame),(pixel/frame),(pixel/frame),(pixel/frame),(quality),(pixel),(pixel),,(pixel/frame),,(rad/frame)
Track_228,228,228,9,0,0,0,0,0,8.0,0.0,8.0,9.924407949130334,339.7280498628329,516.9337319678468,0.0,1.583068995825296,2.8061097021994357,0.7229844345248825,1.6033183698130589,0.664499051320717,875.8888888888889,12.664551966602366,9.924407949130334,0.7836367188750101,1.2405509936412917,0.78363671887501,0.9581513629888677
Track_229,229,229,10,0,0,0,0,0,9.0,0.0,9.0,20.280080961419724,117.78012791031861,407.4901862913135,0.0,2.696011396980438,5.352121356906699,1.1471407374516205,1.9470683513532452,1.5675677852433327,1089.4,24.26410257282394,20.280080961419724,0.8358059359728242,2.253342329046636,0.8358059359728242,0.6425756216584253
Track_230,230,230,11,0,0,0,0,0,10.0,0.0,10.0,0.0,389.31083662675604,507.93196402623585,0.0,1.4031769137281307,5.977776156941351,0.3517359358117815,0.8053007503299175,1.7232870870594483,526.0,14.031769137281307,5.977776156941351,0.0,0.0,0.0,1.3166519631637028
Track_231,231,231,11,0,0,0,0,0,10.0,0.0,10.0,0.0,587.094442991449,257.22241070673675,0.0,1.3024099501614614,4.843489686466127,0.2967542281623718,0.7939987620339172,1.3270139557421596,543.0,13.024099501614614,4.843489686466127,0.0,0.0,0.0,1.7079393521401627
Track_232,232,232,11,0,0,0,0,0,10.0,0.0,10.0,0.0,513.7544844313588,253.4678780347742,0.0,3.0899702509631712,14.491554967366774,0.4220859814302594,1.986058664643475,4.071993792228702,719.6363636363636,30.899702509631716,14.491554967366774,0.0,0.0,0.0,0.8828470342845947
Track_233,233,233,10,0,0,0,0,0,9.0,0.0,9.0,20.25028406887586,292.26626405371996,509.2299477180406,0.0,2.4290817481220284,3.1065146813510975,1.6580544352438984,2.41540143902842,0.47445436286064846,756.4,21.861735733098254,20.25028406887586,0.9262889422918654,2.250031563208429,0.9262889422918654,0.41568171815206006
Track_234,234,234,11,0,0,0,0,0,10.0,0.0,10.0,0.0,151.35874559035312,407.0497744265171,0.0,2.53530219459345,10.8723379395231,0.5353800115363979,1.4975382706175182,3.080667919857253,948.9090909090909,25.353021945934504,11.203507000481345,0.0,0.0,0.0,0.700908826525171
Track_235,235,235,11,0,0,0,0,0,10.0,0.0,10.0,0.0,513.297446804928,394.3980106805515,0.0,3.309988448615856,14.371422928373635,0.40094977436280627,2.33066536928443,4.053186692743609,767.9090909090909,33.09988448615856,14.371422928373635,0.0,0.0,0.0,0.8217418818136534
Track_236,236,236,11,0,0,0,0,0,10.0,0.0,10.0,0.0,441.2383135393282,514.5942562657949,0.0,0.9553766014514875,2.201134646986604,0.3141754350810225,0.7679113463064329,0.5149576069854135,660.9090909090909,9.553766014514874,2.650603346519811,0.0,0.0,0.0,1.2275732093228084
Track_237,237,237,11,0,0,0,0,0,10.0,0.0,10.0,0.0,342.85018035387697,262.27059995513054,0.0,2.451167300972917,11.922329580572757,0.7018427289337145,1.5076743336012062,3.37115606948918,1350.090909090909,24.511673009729172,11.922329580572757,0.0,0.0,0.0,0.533312890137083
