LABEL,TRACK_ID,SPOT_SOURCE_ID,SPOT_TARGET_ID,LINK_COST,DIRECTIONAL_CHANGE_RATE,SPEED,DISPLACEMENT,EDGE_TIME,EDGE_X_LOCATION,EDGE_Y_LOCATION,EDGE_Z_LOCATION,MANUAL_EDGE_COLOR
Label,Track ID,Source spot ID,Target spot ID,Edge cost,Directional change rate,Speed,Displacement,Edge time,Edge X,Edge Y,Edge Z,Manual edge color
Label,Track ID,Source ID,Target ID,Cost,? rate,Speed,Disp.,Edge T,Edge X,Edge Y,Edge Z,Edge color
,,,,(cost),(rad/frame),(pixel/frame),(pixel),(frame),(pixel),(pixel),(pixel),
ID3760 ? ID4015,98,3760,4015,3.917130219782191,0.32321556413102487,1.9791741256853048,1.9791741256853048,4.5,640.1273356551228,369.7438980604173,0.0,
ID6135 ? ID6144,98,6135,6144,13.778516872279788,0.8985545818630464,3.7119424661866445,3.7119424661866445,8.5,636.5034235726637,372.6665492861099,0.0,
ID4152 ? ID3838,98,4152,3838,0.03432324934558417,0.9069952369142665,0.18526534847505663,0.18526534847505663,6.5,638.5039824552862,370.59614845504416,0.0,
ID3838 ? ID6135,98,3838,6135,1.5549250961113303,1.242498876413088,1.2469663572491962,1.2469663572491962,7.5,638.2858083082326,371.2182064736539,0.0,
ID6144 ? ID6054,98,6144,6054,87.85465048376994,3.032618289609387,9.373081162764459,9.373081162764459,9.5,639.2344794941143,371.85621136521587,0.0,
ID3895 ? ID4199,98,3895,4199,62.16440507218777,0.07421677794438553,7.884440694950262,7.884440694950262,1.5,638.6554803255256,374.60881732550445,0.0,
ID3750 ? ID3895,98,3750,3895,7.277310898814919,NaN,2.6976491430159926,2.6976491430159926,0.5,642.6525487691704,371.14625687089085,0.0,
ID4015 ? ID4152,98,4015,4152,3.827612709163166,2.0411143034228125,1.9564285596880777,1.9564285596880777,5.5,639.0983451586367,369.74533998915626,0.0,
ID4035 ? ID3760,98,4035,3760,1.568955456219935,1.0220567015103719,1.25257952091671,1.25257952091671,3.5,640.8014405258805,371.1904304992446,0.0,
ID2413 ? ID2495,99,2413,2495,0.5021223964936836,2.814039218894285,0.7086059529059036,0.7086059529059036,1.5,505.00163745795714,122.4915678291143,0.0,
ID5584 ? ID5579,99,5584,5579,6.4765738285931995,2.7974950515250496,2.5449113596731023,2.5449113596731023,9.5,504.16375354646135,121.07775984833015,0.0,
ID2665 ? ID2654,99,2665,2654,0.8366511558801577,1.015660128760776,0.9146863702276085,0.9146863702276085,6.5,504.80164713497373,120.16983508150602,0.0,
ID2654 ? ID5608,99,2654,5608,0.11474560682254785,0.4833608928916562,0.3387412092181107,0.3387412092181107,7.5,504.2032428394896,120.29996733792208,0.0,
ID2390 ? ID2364,99,2390,2364,0.5294109763599172,1.7492962495967732,0.7276063333698499,0.7276063333698499,4.5,505.23883251157207,120.71166140900678,0.0,
ID2727 ? ID2413,99,2727,2413,0.4902663722533148,NaN,0.7001902400443145,0.7001902400443145,0.5,504.8924323585946,122.52736960389245,0.0,
ID2364 ? ID2665,99,2364,2665,0.24250647957739274,1.6748992446176156,0.49244946905991555,0.49244946905991555,5.5,505.40444769188525,120.32834154192932,0.0,
ID2904 ? ID2390,99,2904,2390,0.4729413903560374,1.2375911279802745,0.6877073435379597,0.6877073435379597,3.5,505.15147603862727,121.15723385088964,0.0,
ID2495 ? ID2904,99,2495,2904,0.695876124877932,0.6397117754357301,0.8341918993121019,0.8341918993121019,2.5,505.1685849459801,121.77830505610719,0.0,
ID5608 ? ID5584,99,5608,5584,0.42529809826123305,1.3236408019181567,0.6521488313730487,0.6521488313730487,8.5,503.8230606233002,120.16769925767306,0.0,
ID3158 ? ID3054,100,3158,3054,5.523747497492556,0.46345315899973183,2.350265410010656,2.350265410010656,6.5,657.9971480175946,235.6018810080472,0.0,
ID3208 ? ID2923,100,3208,2923,6.949444081452151,0.07491895491890499,2.636179827221988,2.636179827221988,4.5,660.735226263187,237.9517362245925,0.0,
ID3054 ? ID5856,100,3054,5856,3.31871838563864,0.2498940664378893,1.8217349932519384,1.8217349932519384,7.5,655.9779830344232,235.14594896340986,0.0,
ID3445 ? ID3208,100,3445,3208,1.8626687837241822,0.1488067863390001,1.3647962425667,1.3647962425667,3.5,661.9223284691284,239.56036748929898,0.0,
ID3139 ? ID3445,100,3139,3445,6.699229169477162,0.033428921391195465,2.5882869179202608,2.5882869179202608,2.5,663.3125344875757,240.95841060296505,0.0,
ID3167 ? ID3139,100,3167,3139,2.590333658069995,0.6957016868664688,1.6094513531231676,1.6094513531231676,1.5,664.8484960638658,242.3884141000035,0.0,
ID3240 ? ID3167,100,3240,3167,11.322759868323534,NaN,3.3649308861139384,3.3649308861139384,0.5,667.1038346698452,243.07418026528615,0.0,
ID2923 ? ID3158,100,2923,3158,1.5473038960939252,0.16603018361942193,1.24390670715047,1.24390670715047,5.5,659.5441846193924,236.42771483871545,0.0,
ID5856 ? ID5832,100,5856,5832,1.3894820346445251,1.8080860563859167,1.178762925547171,1.178762925547171,8.5,655.2546842488097,234.51231188271333,0.0,
ID4265 ? ID4882,101,4265,4882,0.9290662866869226,NaN,0.9638808467268777,0.9638808467268777,0.5,264.4108264815519,467.15485176145796,0.0,
ID4724 ? ID4142,101,4724,4142,3.752047731680774,0.6711437642702414,1.937020322991159,1.937020322991159,6.5,263.17999390531384,455.9358034061246,0.0,
ID4882 ? ID4884,101,4882,4884,0.792167462433013,0.8314620266895729,0.8900378994363178,0.8900378994363178,1.5,264.1912840542425,466.33562577402813,0.0,
ID4414 ? ID4171,101,4414,4171,7.889943937409509,0.06019910186685442,2.808904401614535,2.808904401614535,3.5,263.8082372359721,462.2279236021727,0.0,
ID4171 ? ID4654,101,4171,4654,1.9611265084302651,0.15393102363828973,1.400402266647075,1.400402266647075,4.5,263.7328297282153,460.1301571865415,0.0,
ID4142 ? ID6309,101,4142,6309,1.3908717970432676,0.4924137589410535,1.1793522786018042,1.1793522786018042,7.5,262.47389692596533,454.5965237473339,0.0,
ID6309 ? ID6305,101,6309,6305,4.7408517598416955,0.02772660312594826,2.1773497100469865,2.1773497100469865,8.5,262.14716549327454,452.9504328803731,0.0,
ID4884 ? ID4414,101,4884,4414,5.2667141141332765,0.31877426736030584,2.294932267874866,2.294932267874866,2.5,264.09881415196793,464.7620928581823,0.0,
ID4654 ? ID4724,101,4654,4724,7.490077631401399,0.06606080070067545,2.73680061959241,2.73680061959241,5.5,263.78064928941876,458.06311937316184,0.0,
ID2908 ? ID2396,102,2908,2396,2.0705362696143577,1.0437311234378044,1.438935811499025,1.438935811499025,3.5,347.86946462988533,122.86201410340396,0.0,
ID5618 ? ID5587,102,5618,5587,0.8172666034579085,1.9085786353860437,0.9040279882049607,0.9040279882049607,8.5,347.4543871140147,120.03041062807249,0.0,
ID2730 ? ID2419,102,2730,2419,4.351939541257418,NaN,2.0861302790711367,2.0861302790711367,0.5,348.44014707712574,125.33649995943281,0.0,
ID2377 ? ID2673,102,2377,2673,1.4620915787760151,2.976374760278086,1.2091697890602524,1.2091697890602524,5.5,347.7127019152535,122.78898575265278,0.0,
ID2419 ? ID2499,102,2419,2499,1.0199018389483006,0.031012991288868114,1.009901895704875,1.009901895704875,1.5,347.69406742011336,123.9803243023274,0.0,
ID2499 ? ID2908,102,2499,2908,0.022010784904788593,0.20124029677147554,0.14836032119400588,0.14836032119400588,2.5,347.4179668590357,123.47273243991006,0.0,
ID2668 ? ID5618,102,2668,5618,2.544347532452876,1.5051641995110563,1.5951011041475949,1.5951011041475949,7.5,347.8569496058153,120.69328930127479,0.0,
ID2396 ? ID2377,102,2396,2377,1.8930390509583959,3.055682998352431,1.3758775566737018,1.3758775566737018,4.5,347.8476226220309,122.7974561563599,0.0,
