LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,(quality),(pixel),(pixel),(pixel),(frame),,(pixel),,,(counts),(counts),(counts),(counts),(counts),(counts),,,(pixel),(pixel),(pixel),(pixel),(radians),,(pixel^2),(pixel),,,
ID5471,5471,373,1757.0,210.0994110382825,51.9296570722903,0.0,8.0,8,23.632069213453587,1,,207.30523917995444,205.0,166.0,301.0,364028.0,15.937277196691559,0.03145167001493292,0.7932698978580353,-0.6574310347173506,-0.4868294801780212,35.812782710153066,17.083258687297626,1.8501643227344278,2.0963671724284025,1754.5,184.95523387829002,0.6445104829258631,0.9317578332448221,4.415602181689812
ID2433,2433,374,798.0,164.99947818826968,67.51586307660196,0.0,3.0,3,15.9427238613029,1,,186.1140350877193,185.0,155.0,244.0,148519.0,12.39230256528354,0.005649463309370089,0.16873985771158695,0.3161842450863757,0.29323990134620215,21.69133978591931,12.058010613672563,1.635562586966424,1.7989153004496055,798.5,120.36225609233453,0.6926345404036314,0.9317386231038507,4.259443475931407
ID2161,2161,374,766.0,164.31861471861473,67.51493506493506,0.0,2.0,2,15.655625581928012,1,,184.28923476005187,183.0,156.0,229.0,142087.0,11.960676947815761,0.0059038508288043025,0.1808644062134737,-0.13084185534904397,-0.09449428736444687,23.320377753491876,11.60997233484234,-1.3986865259007986,2.008650587693977,769.9999999999999,118.1975159044549,0.6926022380726696,0.9430496019595833,4.259542803035104
ID2178,2178,374,791.0,166.87020648967552,64.11546565528867,0.0,5.0,5,15.867675317177952,1,,186.56725888324874,185.0,156.0,235.0,147015.0,12.591895261475512,-1.5691998525032853E-5,-4.650069002709373E-4,0.2747123932979335,0.4075010997624097,23.95424081338698,11.209168614372057,-1.5090944450716592,2.137022078753778,790.9999999999999,121.62214119257463,0.6719872878492908,0.9311359623307827,4.324385508149453
ID2243,2243,374,782.0,165.63874680306904,67.37979539641944,0.0,4.0,4,15.777145844408118,1,,188.61302681992336,187.0,153.0,273.0,147684.0,13.221008775872958,0.010234118303473152,0.2890450178503305,0.21765551202178893,-0.5942571477709867,22.567119124544313,12.193028351574972,-1.5443231561475415,1.8508215083112902,782.0,118.66576564951048,0.697855853530546,0.9342891278375148,4.243479116148374
ID2169,2169,374,875.0,167.3703071672355,62.971937808115285,0.0,6.0,6,16.72705562720325,1,,188.48636363636365,187.0,156.0,266.0,165868.0,13.740063587877021,0.009008858127547089,0.244960442394954,-0.008683498553361983,0.5599373008002948,23.971684667109628,11.997264780291957,1.6925789187411948,1.9980958248490261,878.9999999999998,125.89468395080299,0.6969216485803947,0.9596069868995634,4.2463222991598215
ID2281,2281,374,684.0,163.8262670565302,68.37987329434698,0.0,1.0,1,14.755472278097802,1,,182.5601173020528,181.0,155.0,236.0,124506.0,11.923029899454384,0.002361808645399266,0.07215550418656248,-0.10792828009782172,0.32655737143285013,19.92455404477383,11.321331673755928,1.7108092091806624,1.7599125808637073,683.9999999999998,106.73165440922996,0.7545351620198825,0.9421487603305781,4.080986803918779
ID2253,2253,374,872.0,166.2459233978005,62.31418278346606,0.0,7.0,7,16.727055627203253,1,,187.42889647326507,186.0,157.0,267.0,164750.0,13.087288257271073,0.011598848097457292,0.32841532176727756,-0.4553690695748905,0.9641045221243367,25.910259674048653,12.090392367457824,1.7330938268703624,2.1430453939433773,879.0000000000001,131.81895486415306,0.6356865331704744,0.9272151898734179,4.446142997668845
ID5201,5201,375,1943.0,94.30874176717133,550.6791121375417,0.0,2.0,2,24.904353298753136,1,,151.516443987667,150.0,115.0,212.0,294851.0,15.63829545462576,0.012403649989628954,0.23740843830719693,0.33303212731112763,-0.11376918140734424,31.845505885728397,20.184618103499535,-0.15143973908202144,1.5777115882220798,1948.5,178.933481873897,0.7647633170378273,0.941304347826087,4.053604822022752
ID5251,5251,375,1744.0,91.58768906758567,545.6842810645223,0.0,5.0,5,23.540975167693876,1,,154.8318890814558,154.0,122.0,212.0,268014.0,14.522816008295777,0.007711514106608733,0.1631710129246225,-0.6263152829526871,-0.13211598741100744,30.491998329851803,20.92153909570684,0.05821124637408581,1.4574452763902463,1741.0000000000002,174.68788121141577,0.7169404441015861,0.9233625033147708,4.1866185342552
